year,data
1901,10.786202430725098
1902,11.339344024658203
1903,11.312568664550781
1904,11.073087692260742
1905,10.948360443115234
1906,10.34426212310791
1907,10.696447372436523
1908,10.30860710144043
1909,10.493988990783691
1910,10.118169784545898
1911,10.5005464553833
1912,10.251775741577148
1913,9.864070892333984
1914,11.504781723022461
1915,10.668169021606445
1916,10.634153366088867
1917,9.66051959991455
1918,10.224043846130371
1919,10.727731704711914
1920,11.121038436889648
1921,10.506693840026855
1922,10.869125366210938
1923,10.38155746459961
1924,10.542623519897461
1925,10.41571044921875
1926,10.318988800048828
1927,10.72062873840332
1928,10.636748313903809
1929,10.888251304626465
1930,11.2012300491333
1931,10.46352481842041
1932,10.914753913879395
1933,10.546857833862305
1934,10.306694030761719
1935,11.188934326171875
1936,9.954507827758789
1937,11.297540664672852
1938,10.888251304626465
1939,11.42937183380127
1940,10.781694412231445
1941,10.967077255249023
1942,11.060382843017578
1943,11.314070701599121
1944,10.993852615356445
1945,10.432513236999512
1946,11.385519027709961
1947,9.831693649291992
1948,11.647951126098633
1949,11.29494571685791
1950,11.64863395690918
1951,11.56065559387207
1952,11.015710830688477
1953,11.227048873901367
1954,11.277731895446777
1955,11.440983772277832
1956,10.188797950744629
1957,10.479917526245117
1958,11.388934135437012
1959,11.940573692321777
1960,11.7941255569458
1961,12.03702163696289
1962,11.257786750793457
1963,10.813115119934082
1964,11.764890670776367
1965,10.975136756896973
1966,11.320901870727539
1967,11.277868270874023
1968,11.150956153869629
1969,10.583333969116211
1970,10.812021255493164
1971,11.01707649230957
1972,11.235655784606934
1973,11.58292293548584
1974,10.626775741577148
1975,11.734016418457031
1976,10.897130966186523
1977,11.481011390686035
1978,11.938387870788574
1979,11.887158393859863
1980,10.521038055419922
1981,10.665846824645996
1982,11.705464363098145
1983,11.539480209350586
1984,10.934152603149414
1985,11.248907089233398
1986,10.70874309539795
1987,11.497404098510742
1988,11.413934707641602
1989,12.075682640075684
1990,12.334972381591797
1991,11.589616775512695
1992,11.833060264587402
1993,11.21065616607666
1994,12.741256713867188
1995,11.659425735473633
1996,11.508333206176758
1997,12.231420516967773
1998,12.9237699508667
1999,12.296584129333496
2000,11.931557655334473
2001,12.175955772399902
2002,12.068716049194336
2003,11.86420726776123
2004,12.540574073791504
2005,11.502185821533203
2006,12.064207077026367
2007,12.450409889221191
2008,12.156967163085938
2009,12.148087501525879
2010,11.854101181030273
2011,11.588359832763672
2012,11.606348991394043
